Category,States,Area Km2,Area Km2,Tiger No. - 2006,Tiger Lower Limit - 2006,Tiger Upper Limit - 2006,Tiger No. - 2010,Tiger Lower Limit - 2010,Tiger Upper Limit - 2010,Tiger No. - 2014,Tiger Lower Limit - 2014,Tiger Upper Limit - 2014,
Shivalik-Gangetic,Shivalik-Gangetic Plain Landscape Complex - Uttarakhand,1901.00,3476.00,178.00,161.00,195.00,227.00,199.00,256.00,340.00,NA,NA,
Shivalik-Gangetic,Shivalik-Gangetic Plain Landscape Complex - Uttar Pradesh,2766.00,2511.00,109.00,91.00,127.00,109.00,91.00,127.00,117.00,NA,NA,
Shivalik-Gangetic,Shivalik-Gangetic Plain Landscape Complex - Bihar,510.00,750.00,10.00,7.00,13.00,8.00,NA,NA,28.00,NA,NA,
Shivalik-Gangetic,Shivalik-Gangetic,5177.00,6712.00,297.00,259.00,335.00,353.00,320.00,388.00,485.00,427.00,543.00,TOTALS
Central Indian,Shivalik-Gangetic Plain Landscape Complex - Andhra Pradesh (Including Telangana),14126.00,4495.00,95.00,84.00,107.00,72.00,65.00,79.00,68.00,NA,NA,
Central Indian,Shivalik-Gangetic Plain Landscape Complex - Chattisgarh,3609.00,3514.00,26.00,23.00,28.00,26.00,24.00,27.00,46.00,NA,NA,
Central Indian,Shivalik-Gangetic Plain Landscape Complex - Madhya Pradesh,15614.00,13833.00,300.00,236.00,364.00,257.00,213.00,301.00,308.00,NA,NA,
Central Indian,Shivalik-Gangetic Plain Landscape Complex - Maharashtra,4273.00,11960.00,103.00,76.00,131.00,169.00,155.00,183.00,190.00,NA,NA,
Central Indian,Shivalik-Gangetic Plain Landscape Complex - Odisha,9144.00,3398.00,45.00,37.00,53.00,32.00,20.00,44.00,28.00,NA,NA,
Central Indian,Shivalik-Gangetic Plain Landscape Complex - Rajasthan,356.00,637.00,32.00,30.00,35.00,36.00,35.00,37.00,45.00,NA,NA,
Central Indian,Shivalik-Gangetic Plain Landscape Complex - Jharkhand,1488.00,1180.00,NA,NA,NA,10.00,6.00,14.00,3.00,NA,NA,
Central Indian,Central Indian,48610.00,39017.00,601.00,486.00,718.00,601.00,518.00,685.00,688.00,596.00,780.00,TOTALS
Western Ghats,Western Ghats Landscape Complex - Karnataka,18715.00,14414.00,290.00,241.00,339.00,300.00,280.00,320.00,406.00,NA,NA,
Western Ghats,Western Ghats Landscape Complex - Kerala,6168.00,6804.00,46.00,39.00,53.00,71.00,67.00,75.00,136.00,NA,NA,
Western Ghats,Western Ghats Landscape Complex - Tamil Nadu,9211.00,8389.00,76.00,56.00,95.00,163.00,153.00,173.00,229.00,NA,NA,
Western Ghats,Western Ghats Landscape Complex - Goa,NA,NA,NA,NA,NA,NA,NA,NA,5.00,NA,NA,
Western Ghats,Western Ghats,34094.00,29607.00,402.00,336.00,487.00,534.00,500.00,568.00,776.00,685.00,861.00,TOTALS
North East Hills and Brahmaputra,North East Hills and Brahmaputra Flood Plains - Assam,1164.00,2381.00,70.00,60.00,80.00,143.00,113.00,173.00,167.00,NA,NA,
North East Hills and Brahmaputra,North East Hills and Brahmaputra Flood Plains - Arunachal Pradesh,1685.00,1304.00,14.00,12.00,18.00,NA,NA,NA,28.00,NA,NA,
North East Hills and Brahmaputra,North East Hills and Brahmaputra Flood Plains - Mizoram,785.00,416.00,6.00,4.00,8.00,5.00,NA,NA,3.00,NA,NA,
North East Hills and Brahmaputra,North East Hills and Brahmaputra Flood Plains - Northern West Bengal,596.00,799.00,10.00,8.00,12.00,NA,NA,NA,3.00,NA,NA,
North East Hills and Brahmaputra,North East Hills and Brahmaputra,NA,4900.00,100.00,84.00,118.00,148.00,118.00,178.00,201.00,174.00,212.00,TOTALS
Sunderbans,Sunderbans,1586.00,1645.00,NA,NA,NA,70.00,64.00,90.00,76.00,92.00,96.00,
Total Tiger Population,Total Tiger Population,181578.00,81881.00,1411.00,1165.00,1657.00,1706.00,1520.00,1909.00,2226.00,1945.00,2491.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,1410.00,,,1698.00,,,2226.00,,,
